,investor,cryptocurrency,announced_on
805,265,MLN,2017-10
806,266,IND,2019-06
807,267,MOB,2021-08
808,268,CKB,2018-07
809,268,XCH,2021-05
810,269,AMPL,2018-03
811,269,FORTH,2018-03
812,270,STMX,2017-10
813,271,ID,2013-04
814,272,BOSON,2021-03
815,272,FORM,2021-05
816,272,MARSH,2021-03
817,272,TBC,2021-04
818,273,PUML,2018-08
819,274,FOX,2015-09
820,275,HUB,2020-07
821,276,AUCTION,2020-01
822,277,ID,2012-01
823,278,BNB,2017-01
824,278,STX,2018-01
825,279,EBK,2020-02
826,280,CS,2016-02
827,281,TPT,2018-04
828,282,NRVE,2017-04
829,283,CAPP,2015-12
830,284,ICX,2018-10
831,285,DEXTF,2019-11
832,286,KYL,2011-08
833,287,VGX,2021-03
834,288,DF,2020-04
835,289,XRP,2015-05
836,290,NAOS,2021-04
837,291,ASAP,2021-04
838,291,AVAX,2021-09
839,291,CONV,2021-02
840,291,DDX,2020-07
841,291,DFX,2021-02
842,291,DODO,2020-10
843,291,IF,2021-06
844,291,INJ,2021-04
845,291,LINA,2020-09
846,291,MAPS,2021-01
847,291,OOE,2021-03
848,291,OXY,2021-02
849,291,PENDLE,2021-05
850,291,PERP,2020-08
851,291,PTF,2020-09
852,291,SI,2020-12
853,291,SLRS,2021-07
854,291,SOL,2021-06
855,291,VEGA,2021-03
856,291,YLDY,2021-04
857,292,GDT,2021-04
858,292,VEGA,2021-03
859,293,CWAP,2021-05
860,293,GMEE,2021-02
861,294,ETHIX,2019-03
862,295,XRP,2015-05
863,296,NANO,
864,297,ZINC,2016-06
865,298,XGT,2019-11
866,299,ENG,2016-09
867,300,HOPR,2020-07
868,301,INJ,2021-04
869,302,INXT,2020-03
870,303,SPORTS,2021-03
871,304,DDX,2020-07
872,304,IF,2021-06
873,304,LQTY,2021-03
874,304,PERP,2020-08
875,305,RIF,2016-01
876,306,BZZ,2013-01
877,306,MOBI,2017-11
878,306,XRP,2013-05
879,307,CTXC,2016-03
880,308,PAX,2013-11
881,308,PAXG,2013-11
882,308,SKL,2018-10
883,309,SHX,2018-07
884,310,ATN,2018-02
885,311,ICX,2018-10
886,312,CTXC,2012-06
887,313,MATH,2020-12
888,314,BOSON,2021-03
889,315,MOBI,2017-04
890,316,ATOM,2017-03
891,316,HOT,2018-04
892,316,ICX,2017-09
893,316,KRT,2017-12
894,316,LUNA,2017-12
895,316,PAY,2017-06
896,316,SDT,2017-12
897,316,WGR,2017-06
898,316,ZRX,2017-08
899,317,HUM,2018-08
900,318,SPIKE,2018-08
901,319,OXY,2021-02
902,319,SRM,2020-07
903,320,DFX,2021-02
904,321,APPC,2017-12
905,322,MVL,2019-12
906,323,BOND,2020-09
907,324,HBAR,2021-02
908,325,ALI,2018-03
909,325,BOX,2018-06
910,325,CKB,2018-07
911,325,TRIO,2018-02
912,325,UGAS,2018-07
913,326,BLZ,2018-01
914,326,CELR,2018-07
915,326,DGX,2016-03
916,326,ELF,2017-12
917,326,ETHA,2021-03
918,326,ETP,2015-11
919,326,GAS,2014-06
920,326,KNC,2017-09
921,326,KNCL,2017-09
922,326,NEO,2014-06
923,326,OGN,2018-07
924,326,OMG,2017-04
925,326,PAY,2017-04
926,326,PNT,2018-01
927,326,QKC,2018-03
928,327,EVT,2018-08
929,328,GZIL,2018-01
930,328,TT,2018-01
931,328,ZIL,2018-01
932,329,USF,2021-03
933,330,HNS,2018-10
934,331,ALI,2018-03
935,332,MARSH,2021-03
936,333,CBAT,2018-05
937,333,CCOMP,2018-05
938,333,CDAI,2018-05
939,333,COMP,2018-05
940,333,CREP,2018-05
941,333,CUNI,2018-05
942,333,CWBTC,2018-05
943,333,CZRX,2018-05
944,334,LPT,2017-05
945,335,IFT,2015-10
946,336,HNS,2015-03
947,337,STMX,2021-04
948,338,SPIKE,2016-09
949,339,SHIFT,2018-09
950,339,UDT,2018-06
951,340,DMD,2017-03
952,341,CHEX,2021-02
953,342,CEN,2018-06
954,343,CTSI,2018-05
955,344,AUCTION,2019-01
956,345,ETHIX,2020-04
957,346,CVC,2016-01
958,347,BNB,2017-11
959,347,SOL,2018-06
960,347,SRM,2020-07
961,347,ZRX,2017-06
962,348,SENSE,2016-08
963,349,HBAR,2018-05
964,350,HVE2,2018-09
965,351,RAGE,2021-03
966,351,YLD,2020-12
967,352,STMX,2021-04
968,353,ICX,2018-10
969,354,ICX,2020-08
970,355,BUX,2021-04
971,356,SENSE,2016-08
972,357,MOBI,2018-05
973,358,FEVR,2018-01
974,359,DG,2021-06
975,359,MPL,2020-12
976,359,UNN,2020-11
977,360,ARIA20,2021-03
978,361,HNS,2021-05
979,361,KEEP,2021-01
980,362,AR,2018-06
981,362,ARPA,2018-08
982,362,CKB,2021-01
983,362,IOTX,2018-02
984,362,KEEP,2018-04
985,362,KRT,2018-06
986,362,LUNA,2018-06
987,362,NMR,2018-06
988,362,NU,2018-04
989,362,SDT,2018-06
990,363,DOT,2019-02
991,364,KAVA,2019-02
992,365,IF,2021-06
993,366,ANT,2020-02
994,366,API3,2020-11
995,366,BAL,2021-02
996,366,DOT,2020-08
997,366,GRT,2019-01
998,366,HXRO,2021-06
999,366,ICP,2018-08
1000,366,KDA,2018-01
1001,366,LPT,2019-06
1002,366,NEAR,2020-05
1003,366,NMR,2020-06
1004,366,NU,2017-12
1005,366,SHFT,2021-03
1006,366,SOL,2021-06
1007,366,SRM,2020-09
1008,366,ZOMB,2020-11
1009,367,MPAY,2020-07
1010,367,SOL,2021-06
1011,368,CTXC,2021-05
1012,369,AR,2020-03
1013,369,AUCTION,2020-03
1014,369,AUDIO,2020-07
1015,369,BVOL,2021-07
1016,369,CBAT,2018-05
1017,369,CCOMP,2018-05
1018,369,CDAI,2018-05
1019,369,CELO,2018-06
1020,369,CLOUT,2021-03
1021,369,COFI,2020-10
1022,369,COMP,2018-05
1023,369,CREP,2018-05
1024,369,CUNI,2018-05
1025,369,CWBTC,2018-05
1026,369,CZRX,2018-05
1027,369,DDX,2020-07
1028,369,DODO,2020-10
1029,369,DPI,2021-05
1030,369,FTT,2021-07
1031,369,GMEE,2021-07
1032,369,GRT,2020-06
1033,369,HEDGE,2021-07
1034,369,INST,2019-10
1035,369,KRT,2021-01
1036,369,LDO,2021-05
1037,369,LPT,2021-07
1038,369,LUNA,2021-01
